,cluster_groups,sensor_id,day,date,concentration_co,concentration_h2s,concentration_no2,concentration_o3,concentration_oxidizing_gases,concentration_reducing_gases,concentration_so2,day_of_week,Agglomerative,DBSCAN,OPTICS,Spectral,AffinityPropagation
0,0,001e0610890f,05-02,2018-05-02,7.339609116666666,0.40994400950000004,0.12898746286666665,0.012319649033333331,9.373427056,0.4123063086666668,0.6620811483333333,Wednesday,0,-1,0,0,2
1,0,001e0610890f,05-03,2018-05-03,0.476924759,0.014424605749999996,0.0012545882179999998,0.00013789801449999998,,0.0478703611,0.26597703800000005,Thursday,0,-1,0,0,2
2,0,001e0610890f,05-04,2018-05-04,0.22962058620833345,0.015348174583333332,0.003468965942083333,0.002697155672,,0.042126863083333334,0.24850660125000001,Friday,0,-1,0,0,2
3,0,001e0610890f,05-05,2018-05-05,0.09041589099999998,0.017132402312500006,0.005819386799333332,0.004429493518624999,,0.027137486958333328,0.24499610750000003,Saturday,0,-1,0,0,2
4,0,001e0610890f,05-06,2018-05-06,0.09288614695833335,0.013828451317391304,0.0070771549083333335,0.004764048552083335,,0.018329283416666665,0.2387348883333333,Sunday,0,-1,0,0,2
5,0,001e0610890f,05-07,2018-05-07,0.06392181683333333,0.012381848979166665,0.004977789154166667,0.00258113984875,,0.0136245481,0.22810434875,Monday,0,-1,0,0,2
6,0,001e0610890f,05-08,2018-05-08,0.059569623739130446,0.013175599262500002,0.003918539198333333,0.002761382087583334,,0.011114842050000002,0.2251629641666667,Tuesday,0,-1,0,0,2
7,0,001e0610890f,05-09,2018-05-09,0.059727330333333335,0.012197495304166667,0.0015364533362500002,0.0007643346041249998,,0.012322573954166666,0.23017541541666664,Wednesday,0,-1,0,0,2
8,0,001e0610890f,05-10,2018-05-10,0.06027181746666666,0.014542322861111111,0.002235236060526316,0.0008946801208421052,,0.014625684815789472,0.23529231052631577,Thursday,0,-1,0,0,2
9,0,001e0610890f,05-11,2018-05-11,0.05313677224999999,0.011885274724999999,0.0018668472289583334,0.0009047036225,,0.014857482445833334,0.23574999041666667,Friday,0,-1,0,0,2
10,0,001e0610890f,05-12,2018-05-12,0.042433599649999994,0.01382497064583333,0.0002843274520416667,0.00023087647510833332,,0.012540695239130435,0.23083966708333328,Saturday,0,-1,0,0,2
11,0,001e0610890f,05-13,2018-05-13,0.04540790693333334,0.012349557624999999,0.0011397622649583332,0.0003086549575833333,,0.010989098613043478,0.23092809166666664,Sunday,0,-1,0,0,2
12,0,001e0610890f,05-14,2018-05-14,0.09496930629166665,0.014329178891304348,0.00249605423125,0.00035106107100833333,,0.014598217737499997,0.2396473870833333,Monday,0,-1,0,0,2
13,0,001e0610890f,05-15,2018-05-15,0.201019974,0.016462209560000003,0.0035834624815,0.001290618924227,,0.015526516700000001,0.23178842699999996,Tuesday,0,-1,0,0,2
14,0,001e0610890f,05-23,2018-05-23,0.3576958316,0.0403314648,0.00686155396,0.018816416260000003,,0.015534001750000002,0.24018913999999997,Wednesday,0,-1,0,0,2
15,0,001e0610890f,05-24,2018-05-24,0.08891680300000002,0.01576116345,0.004369900668166668,0.003086572162625,,0.014635298645833334,0.22269711749999996,Thursday,0,-1,0,0,2
16,0,001e0610890f,05-25,2018-05-25,0.04738423757142856,0.013680496479166667,0.004733958590666667,0.003115580511875,,0.01192202850833333,0.22843219041666663,Friday,0,-1,0,0,2
17,0,001e0610890f,05-26,2018-05-26,0.04807083375,0.0158084596,0.0025623532431000005,0.0021340121872083333,,0.011650553156521738,0.22888567125,Saturday,0,-1,0,0,2
18,0,001e0610890f,05-27,2018-05-27,0.07609946977777778,0.013376071982608694,0.005136171367916667,0.004593640435416667,,0.012150140370833331,0.2403772916666667,Sunday,0,-1,0,0,2
19,0,001e0610890f,05-28,2018-05-28,0.022279167500000002,0.011390447131818181,0.005788314847083333,0.004352765874458334,,0.012407553479166668,0.24428354875,Monday,0,-1,0,0,2
20,0,001e0610890f,05-29,2018-05-29,0.05390926278571428,0.01421573394782609,0.0013416784109583333,0.0004950171238749999,,0.014182407895833334,0.23744650166666667,Tuesday,0,-1,0,0,2
21,0,001e0610890f,05-30,2018-05-30,0.05938877463333334,0.015405524083333337,8.190428825e-05,8.064499596583333e-05,,0.013308999654166667,0.22884637083333337,Wednesday,0,-1,0,0,2
22,0,001e0610890f,05-31,2018-05-31,,0.01117001125217391,0.0019019412201666662,0.0009930736004166668,,0.011011619356521736,0.23518136041666668,Thursday,0,-1,0,0,2
23,0,001e0610890f,06-01,2018-06-01,0.716526175,0.014989322691666666,0.000463725809875,0.0005125709155833334,,0.013680828479166665,0.2230397108333333,Friday,0,-1,0,0,2
24,0,001e0610890f,06-02,2018-06-02,,0.014298078279166666,0.0002966847309583333,0.0002612404028374999,,0.013955452127777776,0.22989198416666665,Saturday,0,-1,0,0,2
25,0,001e0610890f,06-03,2018-06-03,,0.015727277326086964,0.0009418655301666667,0.0011155657664166665,,0.012468442069565218,0.22629109541666667,Sunday,0,-1,0,0,2
26,0,001e0610890f,06-04,2018-06-04,,0.015023901408333333,0.0017262972345,0.0018542764440000001,,0.011115785785714287,0.21914275625000004,Monday,0,-1,0,0,2
27,0,001e0610890f,06-05,2018-06-05,,0.01551842442083333,0.001546354783416667,0.0011655119956250001,,0.008641136236363636,0.2156819308333334,Tuesday,0,-1,0,0,2
28,0,001e0610890f,06-06,2018-06-06,,0.015490322879166666,0.0006113175220833334,0.0005567044752916667,,0.006176666644444444,0.21536178208333334,Wednesday,0,-1,0,0,2
